PETR4
VALE3
ITUB4
ABEV3
WEGE3
BBDC4
BPAC11
BBAS3
SANB11
ITSA4
B3SA3
BRFS3
BRKM5
CCRO3
CMIG4
CSAN3
GGBR4
JBSS3
LREN3
MGLU3
PCAR3
RADL3
RENT3
SUZB3
VIVT3
YDUQ3
TIMS3
TOTS3
UGPA3
USIM5
RRRP3
ALSO3
ALPA4
ARZZ3
ASAI3
AZUL4
BBSE3
BBDC3
BRAP4
CPLE6
CIEL3
COGN3
CPFE3
CMIN3
CVCB3
CYRE3
DXCO3
ELET3
ELET6
EMBR3
ENBR3
ENGI11
ENEV3
EGIE3
EQTL3
EZTC3
FLRY3
GOAU4
GOLL4
NTCO3
SOMA3
HAPV3
HYPE3
IGTI11
IRBR3
KLBN11
LWSA3
MRFG3
CASH3
BEEF3
