intitle:CCRO3
intitle:Cemig OR intitle:CMIG3 OR intitle:CMIG4
intitle:Cosan OR intitle:CSAN3
intitle:Gerdau OR intitle:GGBR3 OR intitle:GGBR4
intitle:JBSS3
intitle:Renner OR intitle:LREN3
intitle:Magalu OR intitle:Magazine Luiza OR intitle:MGLU3
intitle:Pao de Acucar OR intitle:PCAR3
intitle:Drogasil OR intitle:RADL3
intitle:Localiza Rent OR intitle:RENT3
intitle:Suzano S.A. OR intitle:SUZB3
